brand,laptop_name,display_size,processor_type,graphics_card,disk_space,discount_price,old_price,rating
HP,15-da1005nx,15.6, Intel Core i5-8265U, Intel UHD Graphics 620, 1 TB HDD,1949.0,2199.0,0
Lenovo,IdeaPad S340,14.0, Intel Core i5-8265U, Intel GMA HD, 1 TB HDD,1849.0,2099.0,1
Lenovo,IdeaPad 330-15IKBR,15.6, Intel Core i7-8550U, AMD Radeon 530M (4 GB), 2 TB HDD,2899.0,3149.0,0
Dell,Inspiron 15 3581,15.6, Intel Core i3-7020U, Intel HD Graphics 620, 1 TB HDD,1699.0,1929.0,0
Acer,Aspire 3 A315-53-52ZL,15.6, Intel Core i5-8250U, Intel UHD Graphics 620, 16 GB (Optane)/1 TB HDD,1979.0,2199.0,0
Acer,Aspire 3 A315-53-341N,15.6, Intel Core i3-7020U, Intel Graphics 620, 1 TB HDD,1539.0,1749.0,0
Acer,Aspire 3 A315-53G,15.6, Intel Core i5-8250U, NVIDIA GeForce MX130 (2 GB), 1 TB HDD,2299.0,2499.0,0
Lenovo,IdeaPad 330,15.6, Intel Celeron N4000, Intel UHD Graphics 600, 1 TB HDD,1179.0,1379.0,0
Lenovo,IdeaPad S130-14IGM,14.0, Intel Celeron N4000, Intel UHD Graphics 600, 64 GB (eMMC),899.0,1099.0,0
Lenovo,IdeaPad 330S,15.6, Intel Core i5-8250U, AMD Radeon 540 (4 GB), 2 TB HDD,2499.0,2699.0,0
Asus,VivoBook 14 X420UA,14.0, Intel Core i3-7020U, Intel HD Graphics 620, 128 GB M.2 SSD,1499.0,1699.0,0
Asus,X540UB,15.6, Intel Core i5-8250U, NVIDIA GeForce MX110 (2 GB), 1 TB HDD,1799.0,1999.0,0
Huawei,MateBook 13,13.0, Intel Core i5-8265U, Intel UHD Graphics 620, 256 GB SSD,2799.0,2999.0,1
HP,15-da1018nx,15.6, Intel Core i3-8145U, Intel UHD Graphics 620, 1 TB HDD,1629.0,1799.0,0
HP,15-da1016nx,15.6, Intel Core i3-8145U, Intel UHD Graphics 620, 1 TB HDD,1629.0,1799.0,0
Acer,Aspire 3 A315-33-C6S9,15.6, Intel Celeron N3060, Intel GMA HD, 500 GB HDD,1219.0,1369.0,1
Asus,X543UB,15.6, Intel Core i5-8250U, Intel UHD Graphics 620, 1 TB HDD,1799.0,1949.0,0
Asus,X543MA,15.6, Intel Celeron N4000, Intel UHD Graphics 600, 1 TB HDD,1099.0,1249.0,0
Acer,Aspire 3 A315-53,15.6, Intel Core i3-7020U, Intel HD Graphics 620, 1 TB HDD,1599.0,1749.0,1
Dell,Inspiron 15 3582,15.6, Intel Celeron N4000, Intel UHD Graphics 600, 500 GB HDD,1299.0,1399.0,0
Dell,Inspiron 15 3573,15.6, Intel Celeron N4000, Intel GMA HD, 500 GB HDD,1299.0,1399.0,0
Dell,Inspiron 15 5584,15.6, Intel Core i7-8565U, NVIDIA GeForce MX130 (4 GB), 256 GB SSD/1 TB HDD,3999.0,4099.0,1
Acer,Swift 1 SF114-32-C4GB,14.0, Intel Celeron N4000, Intel HD Graphics 600, 64 GB (eMMC),1279.0,1349.0,0
Acer,Aspire 3,15.6, Intel Core i3-7020U, Intel HD Graphics 620, 1 TB HDD,1679.0,1749.0,0
Acer,Aspire 3 A315-54,15.6, Intel Core i5-8265U, Intel UHD Graphics 620, 1 TB HDD,1999.0,1999.0,0
Acer,Aspire 3 A315-54,15.6, Intel Core i5-8265U, Intel UHD Graphics 620, 1 TB HDD,1999.0,1999.0,0
Acer,Aspire 5 A515-54G,15.6, Intel Core i7-8565U, NVIDIA GeForce MX250 (2 GB), 1 TB HDD,3099.0,3099.0,0
HP,Pavilion 15-cs2012nx,15.6, Intel Core i7-8565U, NVIDIA GeForce GTX 1050 (3 GB), 512 GB NVMe M.2 SSD,4549.0,4549.0,0
Asus,ZenBook S13 UX392FN,13.9, Intel Core i7-8565U, NVIDIA GeForce MX150 (2 GB), 1 TB PCIe NVMe M.2 SSD,6999.0,6999.0,0
HP,Pavilion 15-cs2011nx,15.6, Intel Core i5-8265U, NVIDIA GeForce MX130 (2 GB), 1 TB HDD,2799.0,2799.0,0
Apple,MacBook Pro (Retina + Touch Bar),13.3, Intel Core i5 Quad Core, Intel Iris Plus Graphics 645, 128 GB SSD,5649.0,5649.0,0
Apple,MacBook Pro (Retina + Touch Bar),13.3, Intel Core i5 Quad Core, Intel Iris Plus Graphics 645, 128 GB SSD,5649.0,5649.0,0
Apple,MacBook Pro (Retina + Touch Bar),13.3, Intel Core i5 Quad Core, Intel Iris Plus Graphics 645, 256 GB SSD,6499.0,6499.0,0
Apple,MacBook Air (Retina),13.3, Intel Core i5 Dual Core, Intel UHD Graphics 617, 128 GB (PCIe SSD),4799.0,4799.0,1
